"Joined IP:";"Joined IP:"
"Last Login IP:";"Last Login IP:"
"Do Not Sell My Personal Information:";"Do Not Sell My Personal Information:"

"%s view";"%s view";"%s views"
"%1$s view";"%1$s view";"%1$s views"
"%s friend";"%s friend";"%s friends"

"You are already signed in.";"You are already signed in."
"No record of a member with that email was found.";"No record of a member with that email was found."
"Invalid credentials";"Invalid credentials"
"Invalid credentials supplied";"The credentials you have supplied are invalid. Please check your email and password, and try again."
"You are already logged out.";"You are already logged out."
"Another member has already associated with that facebook account";"Another member has already associated with that facebook account"
"Login successful";"Login successful"
"You are now logged out.";"You are now logged out."

"No member specified";"No member specified"
"No action taken";"No action taken"
"Invalid data";"Invalid data"
"An error has occurred.";"An error has occurred."
"Member unblocked";"Member unblocked"
"Member blocked";"Member blocked"
"The uploaded file is not supported or is corrupt.";"The uploaded file is not supported or is corrupt."
"Set as profile photo";"Your profile photo has been successfully changed."
"Your changes have been saved.";"Your changes have been saved."

"Missing list/not authorized";"Missing list/not authorized"
"Already in list";"Already in list"
"Member added to list.";"Member added to list."
"Already not in list";"Already not in list"
"Member removed from list.";"Member removed from list."
"List deleted";"List deleted"
"You cannot befriend yourself.";"You cannot befriend yourself."
"You are already friends with this member.";"You are already friends with this member."
"Friendship request was not sent because you blocked this member.";"Friendship request was not sent because you blocked this member."

"No action taken";"No action taken"
"Your friend request has been sent.";"Your friend request has been sent."
"Your friend request has been cancelled.";"Your friend request has been cancelled."

"You are now friends with %1$s";"You are now friends with %1$s"
"You ignored a friend request from %1$s";"You ignored a friend request from %1$s"
"This person has been removed from your friends.";"This person has been removed from your friends."

"Settings saved.";"Settings saved."
"Settings were successfully saved.";"Settings were successfully saved."
"Passwords did not match";"Passwords did not match"
"Old password did not match";"Old password did not match"
"Network not found";"Network not found"

"Invalid param count";"Invalid param count"
"Invalid param value";"Invalid param value"

"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_ACCOUNT";"Create Account"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_FIELDS";"Create Profile"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_PHOTO";"Add Your Photo"
"ADMIN_SIGNUP_STEP_USER_PLUGIN_SIGNUP_INVITE";"Invite Your Friends"
"USER_ADMIN_SETTINGS_FACEBOOK_DESCRIPTION";"You can now integrate SocialEngine
to Facebook. To do so, create an Application through the
<a href=""%1$s"" target=""_blank"">Facebook Developers</a> page."
"USER_ADMIN_SETTINGS_TWITTER_DESCRIPTION";"SocialEngine X log in and sign up integration. To enable, please create an Application through the <a href=""%1$s"" target=""_blank"">X Developers</a> page. Please use the following Callback URL: %2$s"

"Please make sure the ""password"" and ""password again"" fields match.";"Please make sure the ""password"" and ""password again"" fields match."

"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>.";"I have read and agree to the <a target=""_blank"" href=""%s/help/terms"">terms of service</a>."
"Terms of Service";"Terms of Service"
"You must agree to the terms of service to continue.";"You must agree to the terms of service to continue."
"This will be the end of your username, for example: ";"This will be the end of your username, for example: "

"You are now friends with %s";"You are now friends with %s"
"You ignored %s's request to follow you";"You ignored %s's request to follow you"
"You ignored a friend request from %s";"You ignored a friend request from %s"
"You are now following this member.";"You are now following this member."
"You are now friends with this member.";"You are now friends with this member."

"Delete User";"Delete User"
